,filename,original,blurred
10,12,"[""{'name': 'Furniture'}"", ""{'name': 'Mammal'}"", ""{'name': 'Horse'}"", ""{'name': 'Animal'}"", ""{'name': 'Handle'}""]","[""{'name': 'Handle'}"", ""{'name': 'Cushion'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Art'}""]"
11,13,"[""{'name': 'Jaw'}"", ""{'name': 'Furniture'}"", ""{'name': 'Apparel'}"", ""{'name': 'Clothing'}"", ""{'name': 'Skeleton'}""]","[""{'name': 'Nature'}"", ""{'name': 'Milk'}"", ""{'name': 'Drink'}"", ""{'name': 'Beverage'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Snow'}"", ""{'name': 'Furniture'}"", ""{'name': 'Clothing'}"", ""{'name': 'Apparel'}"", ""{'name': 'Hat'}"", ""{'name': 'Ice'}"", ""{'name': 'Advertisement'}"", ""{'name': 'Poster'}"", ""{'name': 'Collage'}"", ""{'name': 'Cap'}""]"
12,14,"[""{'name': 'Architecture'}"", ""{'name': 'Building'}"", ""{'name': 'Brick'}"", ""{'name': 'Pillar'}"", ""{'name': 'Column'}""]","[""{'name': 'Screen'}"", ""{'name': 'Electronics'}"", ""{'name': 'Display'}"", ""{'name': 'Monitor'}"", ""{'name': 'Apparel'}"", ""{'name': 'Clothing'}"", ""{'name': 'Beverage'}"", ""{'name': 'Drink'}"", ""{'name': 'LCD Screen'}"", ""{'name': 'Crystal'}""]"
13,15,"[""{'name': 'Dinosaur'}"", ""{'name': 'Reptile'}"", ""{'name': 'Animal'}"", ""{'name': 'Advertisement'}"", ""{'name': 'Collage'}"", ""{'name': 'Poster'}"", ""{'name': 'Furniture'}"", ""{'name': 'Chair'}""]","[""{'name': 'Collage'}"", ""{'name': 'Advertisement'}"", ""{'name': 'Poster'}"", ""{'name': 'Toy'}"", ""{'name': 'Reptile'}"", ""{'name': 'Animal'}"", ""{'name': 'Dinosaur'}""]"
14,18,"[""{'name': 'Silver'}"", ""{'name': 'Crystal'}"", ""{'name': 'Platinum'}""]","[""{'name': 'Aluminium'}"", ""{'name': 'Silver'}""]"
15,20,"[""{'name': 'Figurine'}"", ""{'name': 'Pottery'}"", ""{'name': 'Porcelain'}"", ""{'name': 'Art'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Animal'}""]","[""{'name': 'Figurine'}"", ""{'name': 'Pottery'}"", ""{'name': 'Porcelain'}"", ""{'name': 'Art'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Sink Faucet'}""]"
16,22,"[""{'name': 'Sculpture'}"", ""{'name': 'Art'}"", ""{'name': 'Figurine'}"", ""{'name': 'Person'}"", ""{'name': 'Human'}"", ""{'name': 'Statue'}"", ""{'name': 'Pottery'}"", ""{'name': 'Porcelain'}"", ""{'name': 'Silver'}""]","[""{'name': 'Figurine'}"", ""{'name': 'Art'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Statue'}"", ""{'name': 'Porcelain'}"", ""{'name': 'Pottery'}""]"
17,27,"[""{'name': 'Sculpture'}"", ""{'name': 'Art'}"", ""{'name': 'Statue'}"", ""{'name': 'Figurine'}"", ""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Money'}"", ""{'name': 'Coin'}""]","[""{'name': 'Figurine'}"", ""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Art'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Coin'}"", ""{'name': 'Money'}"", ""{'name': 'Statue'}""]"
18,30,"[""{'name': 'Toy'}"", ""{'name': 'Accessories'}"", ""{'name': 'Accessory'}""]","[""{'name': 'Toy'}"", ""{'name': 'Animal'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Green'}"", ""{'name': 'Sweets'}"", ""{'name': 'Food'}"", ""{'name': 'Confectionery'}""]"
19,31,"[""{'name': 'Electronics'}"", ""{'name': 'Computer'}"", ""{'name': 'Display'}"", ""{'name': 'Screen'}"", ""{'name': 'Monitor'}"", ""{'name': 'LCD Screen'}"", ""{'name': 'Building'}""]","[""{'name': 'Building'}"", ""{'name': 'Architecture'}"", ""{'name': 'Electronics'}""]"
20,35,"[""{'name': 'Animal'}"", ""{'name': 'Sea Life'}"", ""{'name': 'Invertebrate'}"", ""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Home Decor'}"", ""{'name': 'Dishwasher'}"", ""{'name': 'Appliance'}"", ""{'name': 'Outdoors'}""]","[""{'name': 'Apparel'}"", ""{'name': 'Clothing'}"", ""{'name': 'Plastic Wrap'}"", ""{'name': 'Plastic'}""]"
21,37,"[""{'name': 'Crystal'}"", ""{'name': 'Glass'}"", ""{'name': 'Transportation'}"", ""{'name': 'Vehicle'}"", ""{'name': 'Bird'}"", ""{'name': 'Animal'}"", ""{'name': 'Goblet'}"", ""{'name': 'Drink'}"", ""{'name': 'Beverage'}"", ""{'name': 'Wine Glass'}"", ""{'name': 'Alcohol'}"", ""{'name': 'Wine'}""]","[""{'name': 'Crystal'}"", ""{'name': 'Glass'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Ice'}"", ""{'name': 'Nature'}"", ""{'name': 'Beverage'}"", ""{'name': 'Drink'}"", ""{'name': 'Plant'}"", ""{'name': 'Wine Glass'}"", ""{'name': 'Alcohol'}"", ""{'name': 'Wine'}"", ""{'name': 'Soil'}""]"
22,38,"[""{'name': 'Furniture'}"", ""{'name': 'Chair'}"", ""{'name': 'Lamp'}"", ""{'name': 'Crib'}"", ""{'name': 'Cradle'}""]","[""{'name': 'Lamp'}"", ""{'name': 'Food'}""]"
23,39,"[""{'name': 'Porcelain'}"", ""{'name': 'Pottery'}"", ""{'name': 'Art'}"", ""{'name': 'Wedding Cake'}"", ""{'name': 'Dessert'}"", ""{'name': 'Cake'}"", ""{'name': 'Food'}"", ""{'name': 'Jar'}"", ""{'name': 'Figurine'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Sink Faucet'}"", ""{'name': 'Trophy'}"", ""{'name': 'Vase'}""]","[""{'name': 'Sink Faucet'}"", ""{'name': 'Dessert'}"", ""{'name': 'Food'}"", ""{'name': 'Wedding Cake'}"", ""{'name': 'Cake'}"", ""{'name': 'Appliance'}"", ""{'name': 'Mirror'}""]"
24,83,"[""{'name': 'Nature'}"", ""{'name': 'Ice'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Snow'}"", ""{'name': 'Art'}"", ""{'name': 'Furniture'}"", ""{'name': 'Crib'}"", ""{'name': 'Paper'}"", ""{'name': 'Crystal'}"", ""{'name': 'Glass'}""]","[""{'name': 'Crystal'}"", ""{'name': 'Nature'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Money'}"", ""{'name': 'Aluminium'}"", ""{'name': 'Ice'}"", ""{'name': 'Evening Dress'}"", ""{'name': 'Fashion'}"", ""{'name': 'Clothing'}"", ""{'name': 'Gown'}"", ""{'name': 'Apparel'}"", ""{'name': 'Robe'}""]"
25,88,"[""{'name': 'Art'}"", ""{'name': 'Apparel'}"", ""{'name': 'Clothing'}"", ""{'name': 'Helmet'}"", ""{'name': 'Sphere'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Statue'}"", ""{'name': 'Cylinder'}"", ""{'name': 'Crystal'}"", ""{'name': 'Figurine'}""]","[""{'name': 'Clothing'}"", ""{'name': 'Apparel'}"", ""{'name': 'Swimwear'}"", ""{'name': 'Helmet'}"", ""{'name': 'Cap'}"", ""{'name': 'Hat'}"", ""{'name': 'Bathing Cap'}"", ""{'name': 'Swimming Cap'}""]"
26,89,"[""{'name': 'Weapon'}"", ""{'name': 'Weaponry'}"", ""{'name': 'Cannon'}"", ""{'name': 'Wristwatch'}""]","[""{'name': 'Weapon'}"", ""{'name': 'Weaponry'}"", ""{'name': 'Cannon'}"", ""{'name': 'Wristwatch'}""]"
27,90,"[""{'name': 'Text'}"", ""{'name': 'Word'}"", ""{'name': 'Number'}"", ""{'name': 'Symbol'}"", ""{'name': 'Dessert'}"", ""{'name': 'Birthday Cake'}"", ""{'name': 'Food'}"", ""{'name': 'Cake'}"", ""{'name': 'Plot'}"", ""{'name': 'Diagram'}"", ""{'name': 'Plan'}"", ""{'name': 'Clothing'}"", ""{'name': 'Apparel'}"", ""{'name': 'Paper'}""]","[""{'name': 'Ice'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Nature'}"", ""{'name': 'Snow'}"", ""{'name': 'Iceberg'}"", ""{'name': 'Text'}"", ""{'name': 'Dessert'}"", ""{'name': 'Food'}"", ""{'name': 'Cake'}"", ""{'name': 'Birthday Cake'}"", ""{'name': 'Laundry'}""]"
28,91,"[""{'name': 'Toy'}"", ""{'name': 'Building'}"", ""{'name': 'Architecture'}"", ""{'name': 'Weaponry'}"", ""{'name': 'Weapon'}"", ""{'name': 'File'}"", ""{'name': 'Pillar'}"", ""{'name': 'Column'}""]","[""{'name': 'File'}"", ""{'name': 'Electronics'}""]"
29,93,"[""{'name': 'Ice'}"", ""{'name': 'Nature'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Snow'}"", ""{'name': 'Animal'}"", ""{'name': 'Art'}"", ""{'name': 'Purple'}"", ""{'name': 'Graphics'}"", ""{'name': 'Sea Life'}""]","[""{'name': 'Outdoors'}"", ""{'name': 'Nature'}"", ""{'name': 'Furniture'}"", ""{'name': 'Electronics'}"", ""{'name': 'Screen'}"", ""{'name': 'Building'}"", ""{'name': 'Architecture'}"", ""{'name': 'Text'}"", ""{'name': 'Monitor'}"", ""{'name': 'Display'}"", ""{'name': 'File'}"", ""{'name': 'Word'}"", ""{'name': 'Shelter'}"", ""{'name': 'Countryside'}"", ""{'name': 'Rural'}"", ""{'name': 'Sky'}""]"
30,94,"[""{'name': 'Animal'}"", ""{'name': 'Bird'}"", ""{'name': 'Statue'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Art'}"", ""{'name': 'Building'}"", ""{'name': 'Electronics'}""]","[""{'name': 'Bird'}"", ""{'name': 'Animal'}""]"
31,95,"[""{'name': 'Person'}"", ""{'name': 'Human'}"", ""{'name': 'Art'}"", ""{'name': 'Ankle'}"", ""{'name': 'Alien'}"", ""{'name': 'Injection'}""]","[""{'name': 'Person'}"", ""{'name': 'Human'}"", ""{'name': 'People'}"", ""{'name': 'Face'}""]"
32,96,"[""{'name': 'Art'}"", ""{'name': 'Drawing'}""]","[""{'name': 'Art'}"", ""{'name': 'Hand'}""]"
33,98,[],"[""{'name': 'Text'}""]"
